Cate No,Category,Type No,Reward Type,Image,Title,Details,Image Name,Remark,
4,Ruby (Red Gem),1,Ruby (Red Gem) - Tier 1,,Cracked Gaean Ruby [T1],"Infused with Gaea’s might, this Ruby adds STR to any piece of Equipment. The more powerful your Equipment is, the stronger the gem’s influence will be.",gem_red_1.png,2023/Jan update,pending for some icon images to change
4,Ruby (Red Gem),2,Ruby (Red Gem) - Tier 2,,Weathered Gaean Ruby [T2],"Infused with Gaea’s might, this Ruby adds STR to any piece of Equipment. The more powerful your Equipment is, the stronger the gem’s influence will be.",gem_red_2.png,2023/Jan update,pending for some icon images to change
4,Ruby (Red Gem),3,Ruby (Red Gem) - Tier 3,,Rough Gaean Ruby [T3],"Infused with Gaea’s might, this Ruby adds STR to any piece of Equipment. The more powerful your Equipment is, the stronger the gem’s influence will be.",gem_red_3.png,2023/Jan update,pending for some icon images to change
4,Ruby (Red Gem),4,Ruby (Red Gem) - Tier 4,,Tarnished Gaean Ruby [T4],"Infused with Gaea’s might, this Ruby adds STR to any piece of Equipment. The more powerful your Equipment is, the stronger the gem’s influence will be.",gem_red_4.png,2023/Jan update,pending for some icon images to change
4,Ruby (Red Gem),5,Ruby (Red Gem) - Tier 5,,Dull Gaean Ruby [T5],"Infused with Gaea’s might, this Ruby adds STR to any piece of Equipment. The more powerful your Equipment is, the stronger the gem’s influence will be.",gem_red_5.png,2023/Jan update,pending for some icon images to change
4,Ruby (Red Gem),6,Ruby (Red Gem) - Tier 6,,Clear Gaean Ruby [T6],"Infused with Gaea’s might, this Ruby adds STR to any piece of Equipment. The more powerful your Equipment is, the stronger the gem’s influence will be.",gem_red_6.png,2023/Jan update,pending for some icon images to change
4,Ruby (Red Gem),7,Ruby (Red Gem) - Tier 7,,Keen Gaean Ruby [T7],"Infused with Gaea’s might, this Ruby adds STR to any piece of Equipment. The more powerful your Equipment is, the stronger the gem’s influence will be.",gem_red_7.png,2023/Jan update,pending for some icon images to change
4,Ruby (Red Gem),8,Ruby (Red Gem) - Tier 8,,Polished Gaean Ruby [T8],"Infused with Gaea’s might, this Ruby adds STR to any piece of Equipment. The more powerful your Equipment is, the stronger the gem’s influence will be.",gem_red_8.png,2023/Jan update,pending for some icon images to change
4,Ruby (Red Gem),9,Ruby (Red Gem) - Tier 9,,Pristine Gaean Ruby [T9],"Infused with Gaea’s might, this Ruby adds STR to any piece of Equipment. The more powerful your Equipment is, the stronger the gem’s influence will be.",gem_red_9.png,2023/Jan update,pending for some icon images to change
4,Ruby (Red Gem),10,Ruby (Red Gem) - Tier 10,,Flawless Gaean Ruby [T10],"Infused with Gaea’s might, this Ruby adds STR to any piece of Equipment. The more powerful your Equipment is, the stronger the gem’s influence will be.",gem_red_10.png,2023/Jan update,pending for some icon images to change
4,Ruby (Red Gem),11,Ruby (Red Gem) - Tier 11,,Celestial Gaean Ruby [T11],A precious stone infused with the might of Gaea. It can be used to change the secondary attribute of any Equipment to STR.,gem_red_11.png,2023/Jan update,pending for some icon images to change
4,Ruby (Red Gem),12,Ruby (Red Gem) - Tier 12,,Divine Gaean Ruby [T12],A precious stone infused with the might of Gaea. It can be used to change the secondary attribute of any Equipment to STR.,gem_red_12.png,2023/Jan update,pending for some icon images to change
5,Sapphire (Blue Gem),1,Sapphire (Blue Gem) - Tier 1,,Cracked Gaean Sapphire [T1],"Infused with Gaea’s wisdom, this Sapphire adds INT to any piece of Equipment. The more powerful your Equipment is, the stronger the gem’s influence will be.",gem_blue_1.png,2023/Jan update,pending for some icon images to change
5,Sapphire (Blue Gem),2,Sapphire (Blue Gem) - Tier 2,,Weathered Gaean Sapphire [T2],"Infused with Gaea’s wisdom, this Sapphire adds INT to any piece of Equipment. The more powerful your Equipment is, the stronger the gem’s influence will be.",gem_blue_2.png,2023/Jan update,pending for some icon images to change
5,Sapphire (Blue Gem),3,Sapphire (Blue Gem) - Tier 3,,Rough Gaean Sapphire [T3],"Infused with Gaea’s wisdom, this Sapphire adds INT to any piece of Equipment. The more powerful your Equipment is, the stronger the gem’s influence will be.",gem_blue_3.png,2023/Jan update,pending for some icon images to change
5,Sapphire (Blue Gem),4,Sapphire (Blue Gem) - Tier 4,,Tarnished Gaean Sapphire [T4],"Infused with Gaea’s wisdom, this Sapphire adds INT to any piece of Equipment. The more powerful your Equipment is, the stronger the gem’s influence will be.",gem_blue_4.png,2023/Jan update,pending for some icon images to change
5,Sapphire (Blue Gem),5,Sapphire (Blue Gem) - Tier 5,,Dull Gaean Sapphire [T5],"Infused with Gaea’s wisdom, this Sapphire adds INT to any piece of Equipment. The more powerful your Equipment is, the stronger the gem’s influence will be.",gem_blue_5.png,2023/Jan update,pending for some icon images to change
5,Sapphire (Blue Gem),6,Sapphire (Blue Gem) - Tier 6,,Clear Gaean Sapphire [T6],"Infused with Gaea’s wisdom, this Sapphire adds INT to any piece of Equipment. The more powerful your Equipment is, the stronger the gem’s influence will be.",gem_blue_6.png,2023/Jan update,pending for some icon images to change
5,Sapphire (Blue Gem),7,Sapphire (Blue Gem) - Tier 7,,Keen Gaean Sapphire [T7],"Infused with Gaea’s wisdom, this Sapphire adds INT to any piece of Equipment. The more powerful your Equipment is, the stronger the gem’s influence will be.",gem_blue_7.png,2023/Jan update,pending for some icon images to change
5,Sapphire (Blue Gem),8,Sapphire (Blue Gem) - Tier 8,,Polished Gaean Sapphire [T8],"Infused with Gaea’s wisdom, this Sapphire adds INT to any piece of Equipment. The more powerful your Equipment is, the stronger the gem’s influence will be.",gem_blue_8.png,2023/Jan update,pending for some icon images to change
5,Sapphire (Blue Gem),9,Sapphire (Blue Gem) - Tier 9,,Pristine Gaean Sapphire [T9],"Infused with Gaea’s wisdom, this Sapphire adds INT to any piece of Equipment. The more powerful your Equipment is, the stronger the gem’s influence will be.",gem_blue_9.png,2023/Jan update,pending for some icon images to change
5,Sapphire (Blue Gem),10,Sapphire (Blue Gem) - Tier 10,,Flawless Gaean Sapphire [T10],"Infused with Gaea’s wisdom, this Sapphire adds INT to any piece of Equipment. The more powerful your Equipment is, the stronger the gem’s influence will be.",gem_blue_10.png,2023/Jan update,pending for some icon images to change
5,Sapphire (Blue Gem),11,Sapphire (Blue Gem) - Tier 11,,Celestial Gaean Sapphire [T11],A precious stone infused with the wisdom of Gaea. It can be used to change the secondary attribute of any Equipment to INT.,gem_blue_11.png,2023/Jan update,pending for some icon images to change
5,Sapphire (Blue Gem),12,Sapphire (Blue Gem) - Tier 12,,Divine Gaean Sapphire [T12],A precious stone infused with the wisdom of Gaea. It can be used to change the secondary attribute of any Equipment to INT.,gem_blue_12.png,2023/Jan update,pending for some icon images to change
